time_s,phase_cmd_a,phase_cmd_b,phase_cmd_c,ia_A,ib_A,ic_A,vab_V,vbc_V,vca_V,ea_V,eb_V,ec_V,speed_rad_s,electromagnetic_torque_Nm
0.0,-1.0,0.0,1.0,0.0,0.0,0.0,-24.0,-24.0,48.0,0.0,0.0,0.0,0.0,0.0
1e-05,-1.0,0.0,1.0,-0.08444932214490165,0.0,0.08444932214490165,-23.999949515784394,-24.000050484215603,48.0,1.6255379433216342e-14,-3.365614372741332e-05,3.365614372652206e-05,8.430430048272666e-05,0.03371403956937844
2e-05,-1.0,0.0,1.0,-0.16878323024035835,0.0,0.16878323024035835,-23.999798155117958,-24.000201844882035,48.0,5.197575993668403e-13,-0.00013456325452777438,0.00013456325449927707,0.0003370636022495968,0.06738200306035631
3.0000000000000004e-05,-1.0,0.0,1.0,-0.25300176361922944,0.0,0.25300176361922944,-23.999546055936168,-24.00045394406383,48.0,3.943763042850824e-12,-0.0003026293746454001,0.0003026293744291709,0.0007580475628123777,0.101003905575165
4e-05,-1.0,0.0,1.0,-0.33710496172244275,0.0,0.33710496172244275,-23.999193356127815,-24.000806643872185,48.0,1.6605733982655872e-11,-0.0005377625762225043,0.0005377625753120428,0.0013470259143064903,0.13457976186136367
5e-05,-1.0,0.0,1.0,-0.4210928640988042,0.0,0.4210928640988042,-23.998740193535095,-24.001259806464905,48.0,5.063626125604747e-11,-0.000839870960646082,0.0008398709578697892,0.0021037684617225805,0.16810958631381184
6.000000000000001e-05,-1.0,0.0,1.0,-0.5049655104048121,0.0,0.5049655104048121,-23.99818670595365,-24.001813294046347,48.0,1.2589870468960698e-10,-0.0012088626578984742,0.0012088626509956812,0.0030280450811479525,0.20159339297664122
7.000000000000001e-05,-1.0,0.0,1.0,-0.5887229404044765,0.0,0.5887229404044765,-23.997533031132633,-24.00246696886736,48.0,2.7189956844260296e-10,-0.0016446458259116135,0.0016446458110038634,0.0041196257180178475,0.23503119554522386
8e-05,-1.0,0.0,1.0,-0.6723651939691436,0.0,0.6723651939691436,-23.996779306774783,-24.003220693225213,48.0,5.296896282553617e-10,-0.0021471286499249414,0.0021471286208830384,0.0053782803853765675,0.2684230073681395
9e-05,-1.0,0.0,1.0,-0.7558923110773247,0.0,0.7558923110773247,-23.995925670536497,-24.004074329463506,48.0,9.537558274089689e-10,-0.002716219341847002,0.0027162192895543343,0.006803779162148431,0.30176884144914085
0.0001,-1.0,0.0,1.0,-0.8393043318145305,0.0,0.8393043318145305,-23.994972260027865,-24.005027739972135,48.0,1.613903958024459e-09,-0.0033518261396206952,0.003351826051133326,0.008395892191418538,0.3350687104491156
0.00011,-1.0,0.0,1.0,-0.9226012963731095,0.0,0.9226012963731095,-23.993919212812745,-24.006080787187262,48.0,2.597132144153397e-09,-0.004053857306592199,0.004053857164196246,0.010154389678723348,0.3683226266880483
0.00012000000000000002,-1.0,0.0,1.0,-1.0057832450520923,0.0,1.0057832450520923,-23.99276666640884,-24.007233333591163,48.0,4.009495142937429e-09,-0.004822221130883556,0.004822220911050353,0.012079041890351073,0.40153060214697855
0.00013000000000000002,-1.0,0.0,1.0,-1.088850218257039,0.0,1.088850218257039,-23.991514758287742,-24.008485241712254,48.0,5.977959479941958e-09,-0.005656825924768906,0.005656825597008444,0.014169619151651828,0.4346926484699574
0.00014000000000000001,-1.0,0.0,1.0,-1.1718022564998933,0.0,1.1718022564998933,-23.990163625874988,-24.009836374125005,48.0,8.652249434598641e-09,-0.006557580024054386,0.006557579549667549,0.016425891845357598,0.46780877696600287
0.00015000000000000001,-1.0,0.0,1.0,-1.2546394003988404,0.0,1.2546394003988404,-23.9887134065501,-24.0112865934499,48.0,1.2206683891522707e-08,-0.007524391787461656,0.007524391118191755,0.018847630409911928,0.5008789986110523
0.00016,-1.0,0.0,1.0,-1.3373616906781682,0.0,1.3373616906781682,-23.98716423764668,-24.01283576235332,48.0,1.6842004073304535e-08,-0.008557169596015103,0.008557168672599166,0.021434605337809425,0.5339033240499118
0.00017,-1.0,0.0,1.0,-1.419969168168136,0.0,1.419969168168136,-23.985516256452442,-24.014483743547558,48.0,2.278719217020999e-08,-0.009655821852432658,0.009655820603053054,0.02418658717394495,0.5668817635982069
0.00018,-1.0,0.0,1.0,-1.5024618738048452,0.0,1.5024618738048452,-23.983769600209257,-24.016230399790746,48.0,3.030128088206118e-08,-0.010820256980520266,0.010820255319157075,0.027103346513972604,0.599814327244326
0.00019,-1.0,0.0,1.0,-1.5848398486301165,0.0,1.5848398486301165,-23.98192440611323,-24.018075593886774,48.0,3.967515388740817e-08,-0.012050383424569992,0.012050381249254678,0.03018465400267438,0.632701024651368
